"Week,""Average_Kurs"""
2020-06-14,14280
2020-06-21,14291.8
2020-06-28,14491.2
2020-07-05,14554.4
2020-07-12,14678.2
2020-07-19,14790
2020-07-26,14665.75
2020-08-02,14726.6
2020-08-09,14884
2020-08-16,14921
2020-08-23,14769.2
2020-08-30,14790.2
2020-09-06,14925.2
2020-09-13,14941
2020-09-20,14922.4
2020-09-27,14987.2
2020-10-04,14844
2020-10-11,14843
2020-10-18,14786.2
2020-10-25,14764.4
2020-11-01,14601.6
2020-11-08,14205
2020-11-15,14215.8
2020-11-22,14231.8
2020-11-29,14236.8
2020-12-06,14210
2020-12-13,14226.6
2020-12-20,14319.8
2020-12-27,14211.75
2021-01-03,14024
2021-01-10,14207.2
2021-01-17,14134.8
2021-01-24,14162.6
2021-01-31,14110.2
2021-02-07,14072.2
2021-02-14,14066.6
2021-02-21,14199.8
2021-02-28,14394.2
2021-03-07,14486.2
2021-03-14,14509.8
2021-03-21,14520.4
2021-03-28,14600.8
2021-04-04,14618.8
2021-04-11,14700.6
2021-04-18,14622.4
2021-04-25,14574.8
2021-05-02,14502.8
2021-05-09,14287.2
2021-05-16,14370.8
2021-05-23,14421.2
2021-05-30,14368.4
2021-06-06,14341.4
2021-06-13,14332.6
2021-06-20,14510.6
2021-06-27,14571.6
2021-07-04,14585
2021-07-11,14575.6
2021-07-18,14598.75
2021-07-25,14566.8
2021-08-01,14461.2
2021-08-08,14455.25
2021-08-15,14464.25
2021-08-22,14492.2
2021-08-29,14406.8
2021-09-05,14317.6
2021-09-12,14317.4
2021-09-19,14317.6
2021-09-26,14352.4
2021-10-03,14338
2021-10-10,14276.6
2021-10-17,14168.5
2021-10-24,14249.6
2021-10-31,14330.4
2021-11-07,14354.4
2021-11-14,14301
2021-11-21,14334.2
2021-11-28,14406
2021-12-05,14463.2
2021-12-12,14422.4
2021-12-19,14389.8
2021-12-26,14314
2022-01-02,14395.4
2022-01-09,14391
2022-01-16,14408.4
2022-01-23,14424.6
2022-01-30,14447.25
2022-02-06,14447
2022-02-13,14385.2
2022-02-20,14423.2
2022-02-27,14436
2022-03-06,14443.2
2022-03-13,14383
2022-03-20,14422.2
2022-03-27,14426.2
2022-04-03,14431.4
2022-04-10,14436.5
2022-04-17,14422.2
2022-04-24,14482.75
2022-05-08,14611
2022-05-15,14744
2022-05-22,14729
2022-05-29,14633
2022-06-05,14550
2022-06-12,14765
2022-06-19,14906.6
2022-06-26,14917
2022-07-03,15056.4
2022-07-10,15060.4
2022-07-17,15070.6
2022-07-24,15070.6
2022-07-31,14968
2022-08-07,14945.4
2022-08-14,14824.75
2022-08-21,14936.2
2022-08-28,14936.6
2022-09-04,14982.2
2022-09-11,14948
2022-09-18,15062.6
2022-09-25,15235.6
2022-10-02,15314.8
2022-10-09,15404.2
2022-10-16,15559
2022-10-23,15675
2022-10-30,15701.6
2022-11-06,15771.8
2022-11-13,15648.4
2022-11-20,15771
2022-11-27,15777.2
2022-12-04,15609
2022-12-11,15705.8
2022-12-18,15686.2
2022-12-25,15745.2
2023-01-01,15673.8
2023-01-08,15616
2023-01-15,15195.8
2023-01-22,15068.5
2023-01-29,15036.4
2023-02-05,15142.2
2023-02-12,15254.8
2023-02-19,15266.2
2023-02-26,15326.6
2023-03-05,15448
2023-03-12,15478
2023-03-19,15438.6666666667
2023-03-26,15196.8
2023-04-02,15028.25
2023-04-09,14953.2
2023-04-16,14793
2023-04-23,14903.3333333333
2023-04-30,14749
2023-05-07,14795.4
2023-05-14,14886.25
2023-05-21,14988.2
2023-05-28,15042
2023-06-04,14976
2023-06-11,14960.8
2023-06-18,15050.8
2023-06-25,15087
2023-07-02,15100.4
2023-07-09,15186
2023-07-16,15059.25
2023-07-23,15094.2
2023-07-30,15207.8
2023-08-06,15273
2023-08-13,15377.25
2023-08-20,15383.8
2023-08-27,15342
2023-09-03,15356.4
2023-09-10,15429.2
2023-09-17,15459.8
2023-09-24,15520.25
2023-10-01,15646.4
2023-10-08,15763.2
2023-10-15,15821.4
2023-10-22,15973.8
2023-10-29,15997.6666666667
