Week,Average_Kurs
6/14/2020,14280
6/21/2020,14291.8
6/28/2020,14491.2
7/5/2020,14554.4
7/12/2020,14678.2
7/19/2020,14790
7/26/2020,14665.75
8/2/2020,14726.6
8/9/2020,14884
8/16/2020,14921
8/23/2020,14769.2
8/30/2020,14790.2
9/6/2020,14925.2
9/13/2020,14941
9/20/2020,14922.4
9/27/2020,14987.2
10/4/2020,14844
10/11/2020,14843
10/18/2020,14786.2
10/25/2020,14764.4
11/1/2020,14601.6
11/8/2020,14205
11/15/2020,14215.8
11/22/2020,14231.8
11/29/2020,14236.8
12/6/2020,14210
12/13/2020,14226.6
12/20/2020,14319.8
12/27/2020,14211.75
1/3/2021,14024
1/10/2021,14207.2
1/17/2021,14134.8
1/24/2021,14162.6
1/31/2021,14110.2
2/7/2021,14072.2
2/14/2021,14066.6
2/21/2021,14199.8
2/28/2021,14394.2
3/7/2021,14486.2
3/14/2021,14509.8
3/21/2021,14520.4
3/28/2021,14600.8
4/4/2021,14618.8
4/11/2021,14700.6
4/18/2021,14622.4
4/25/2021,14574.8
5/2/2021,14502.8
5/9/2021,14287.2
5/16/2021,14370.8
5/23/2021,14421.2
5/30/2021,14368.4
6/6/2021,14341.4
6/13/2021,14332.6
6/20/2021,14510.6
6/27/2021,14571.6
7/4/2021,14585
7/11/2021,14575.6
7/18/2021,14598.75
7/25/2021,14566.8
8/1/2021,14461.2
8/8/2021,14455.25
8/15/2021,14464.25
8/22/2021,14492.2
8/29/2021,14406.8
9/5/2021,14317.6
9/12/2021,14317.4
9/19/2021,14317.6
9/26/2021,14352.4
10/3/2021,14338
10/10/2021,14276.6
10/17/2021,14168.5
10/24/2021,14249.6
10/31/2021,14330.4
11/7/2021,14354.4
11/14/2021,14301
11/21/2021,14334.2
11/28/2021,14406
12/5/2021,14463.2
12/12/2021,14422.4
12/19/2021,14389.8
12/26/2021,14314
1/2/2022,14395.4
1/9/2022,14391
1/16/2022,14408.4
1/23/2022,14424.6
1/30/2022,14447.25
2/6/2022,14447
2/13/2022,14385.2
2/20/2022,14423.2
2/27/2022,14436
3/6/2022,14443.2
3/13/2022,14383
3/20/2022,14422.2
3/27/2022,14426.2
4/3/2022,14431.4
4/10/2022,14436.5
4/17/2022,14422.2
4/24/2022,14482.75
5/8/2022,14611
5/15/2022,14744
5/22/2022,14729
5/29/2022,14633
6/5/2022,14550
6/12/2022,14765
6/19/2022,14906.6
6/26/2022,14917
7/3/2022,15056.4
7/10/2022,15060.4
7/17/2022,15070.6
7/24/2022,15070.6
7/31/2022,14968
8/7/2022,14945.4
8/14/2022,14824.75
8/21/2022,14936.2
8/28/2022,14936.6
9/4/2022,14982.2
9/11/2022,14948
9/18/2022,15062.6
9/25/2022,15235.6
10/2/2022,15314.8
10/9/2022,15404.2
10/16/2022,15559
10/23/2022,15675
10/30/2022,15701.6
11/6/2022,15771.8
11/13/2022,15648.4
11/20/2022,15771
11/27/2022,15777.2
12/4/2022,15609
12/11/2022,15705.8
12/18/2022,15686.2
12/25/2022,15745.2
1/1/2023,15673.8
1/8/2023,15616
1/15/2023,15195.8
1/22/2023,15068.5
1/29/2023,15036.4
2/5/2023,15142.2
2/12/2023,15254.8
2/19/2023,15266.2
2/26/2023,15326.6
3/5/2023,15448
3/12/2023,15478
3/19/2023,15438.66667
3/26/2023,15196.8
4/2/2023,15028.25
4/9/2023,14953.2
4/16/2023,14793
4/23/2023,14903.33333
4/30/2023,14749
5/7/2023,14795.4
5/14/2023,14886.25
5/21/2023,14988.2
5/28/2023,15042
6/4/2023,14976
6/11/2023,14960.8
6/18/2023,15050.8
6/25/2023,15087
7/2/2023,15100.4
7/9/2023,15186
7/16/2023,15059.25
7/23/2023,15094.2
7/30/2023,15207.8
8/6/2023,15273
8/13/2023,15377.25
8/20/2023,15383.8
8/27/2023,15342
9/3/2023,15356.4
9/10/2023,15429.2
9/17/2023,15459.8
9/24/2023,15520.25
10/1/2023,15646.4
10/8/2023,15763.2
10/15/2023,15821.4
10/22/2023,15973.8
10/29/2023,15997.66667
11/5/2023,15709.051
11/12/2023,15571.759
11/19/2023,15490.3125
11/26/2023,15436.799
12/3/2023,15399.517
12/10/2023,15372.55   
12/17/2023,15352.542  
12/24/2023,15337.425 
12/31/2023,15325.851 
12/1/2024,15316.90 
